channel,t_min,t_max,t_center,dsigma_dt,err_minus,err_plus
el,0.0,0.05,0.02,336.0,18.4,18.4
el,0.05,0.11,0.08,240.5,12.9,12.9
el,0.11,0.17,0.14,161.2,9.3,9.3
el,0.17,0.25,0.21,111.4,7.0,7.0
el,0.25,0.35,0.3,70.4,5.1,5.1
el,0.35,0.49,0.41,41.2,3.7,3.7
el,0.49,0.69,0.58,18.0,2.74,2.74
el,0.69,1.2,0.9,4.83,1.75,1.75
pd,0.0,0.2,0.1,47.3,6.7,6.7
pd,0.2,0.4,0.29,43.8,6.0,6.0
pd,0.4,0.64,0.52,36.7,5.1,5.1
pd,0.64,0.93,0.78,27.8,4.2,4.2
pd,0.93,1.31,1.12,16.8,2.59,2.59
pd,1.31,1.83,1.55,10.05,1.56,1.56
pd,1.83,2.63,2.21,6.04,0.68,0.68
pd,2.63,4.13,3.3,2.8,0.38,0.38
pd,4.13,8.0,5.71,0.875,0.178,0.178
