channel,t_min,t_max,t_center,dsigma_dt,err_stat,err_minus,err_plus
el,0.00000,0.016,0.00789,94.9,1.9,5.9,5.9
el,0.016,0.036,0.026,77.4,1.5,4.6,4.6
el,0.036,0.062,0.049,63.2,1.2,3.8,3.8
el,0.062,0.10,0.080,45.87,0.84,2.75,2.72
el,0.10,0.15,0.12,30.86,0.59,1.89,1.86
el,0.15,0.23,0.19,17.82,0.36,1.14,1.09
el,0.23,1.5,0.52,1.161,0.029,0.107,0.102
pd,0.00000,0.050,0.02445,15.61,0.70,2.40,2.47
pd,0.050,0.11,0.079,13.59,0.62,1.91,1.97
pd,0.11,0.21,0.16,8.89,0.39,1.15,1.23
pd,0.21,0.40,0.30,5.29,0.20,0.68,0.74
pd,0.40,1.5,0.78,0.798,0.030,0.103,0.105
