model,channel,t_GeV2,dsigma_dt_nb_per_GeV2,band_low_nb_per_GeV2,band_high_nb_per_GeV2
smooth_Bp4,coherent,0.05,243.444156,243.444156,243.444156
smooth_Bp4,coherent,0.1,194.443987,194.443987,194.443987
smooth_Bp4,coherent,0.15,155.025333,155.025333,155.025333
smooth_Bp4,coherent,0.2,123.763813,123.763813,123.763813
smooth_Bp4,coherent,0.25,98.8112144,98.8112144,98.8112144
smooth_Bp4,coherent,0.3,78.7137297,78.7137297,78.7137297
smooth_Bp4,coherent,0.35,62.6860924,62.6860924,62.6860924
smooth_Bp4,coherent,0.4,49.8954823,49.8954823,49.8954823
smooth_Bp4,coherent,0.45,39.7114939,39.7114939,39.7114939
smooth_Bp4,coherent,0.5,31.5374567,31.5374567,31.5374567
smooth_Bp4,coherent,0.55,25.0692061,25.0692061,25.0692061
smooth_Bp4,coherent,0.65,15.8536112,15.8536112,15.8536112
smooth_Bp4,coherent,0.75,9.94341894,9.94341894,9.94341894
smooth_Bp4,coherent,0.85,6.2270808,6.2270808,6.2270808
smooth_Bp4,coherent,0.95,3.8849456,3.8849456,3.8849456
smooth_Bp4,coherent,1.05,2.42226295,2.42226295,2.42226295
smooth_Bp4,coherent,1.15,1.51446146,1.51446146,1.51446146
smooth_Bp4,coherent,1.25,0.914135288,0.914135288,0.914135288
smooth_Bp4,coherent,1.35,0.565371427,0.565371427,0.565371427
smooth_Bp4,coherent,1.45,0.342872707,0.342872707,0.342872707
smooth_Bp4,coherent,1.55,0.205219632,0.205219632,0.205219632
smooth_Bp4,coherent,1.65,0.122430401,0.122430401,0.122430401
smooth_Bp4,coherent,1.75,0.0724456444,0.0724456444,0.0724456444
smooth_Bp4,coherent,1.85,0.0426979422,0.0426979422,0.0426979422
smooth_Bp4,coherent,1.95,0.0247357122,0.0247357122,0.0247357122
smooth_Bp4,coherent,2.05,0.0132271899,0.0132271899,0.0132271899
smooth_Bp4,coherent,2.15,0.00708989024,0.00708989024,0.00708989024
smooth_Bp4,coherent,2.25,0.00407411319,0.00407411319,0.00407411319
