dataset,t_min_GeV2,t_max_GeV2,t_center_GeV2,dsigma_dt_nb_per_GeV2,err_minus,err_plus,error_contents,extra_norm_fraction,W_min_GeV,W_max_GeV,W_reference_GeV
H1_2013,0.0,0.2,0.1,47.3,6.7,6.7,total,0.0,40.0,110.0,75.0
H1_2013,0.2,0.4,0.29,43.8,6.0,6.0,total,0.0,40.0,110.0,75.0
H1_2013,0.4,0.64,0.52,36.7,5.1,5.1,total,0.0,40.0,110.0,75.0
H1_2013,0.64,0.93,0.78,27.8,4.2,4.2,total,0.0,40.0,110.0,75.0
H1_2013,0.93,1.31,1.12,16.8,2.59,2.59,total,0.0,40.0,110.0,75.0
H1_2013,1.31,1.83,1.55,10.05,1.56,1.56,total,0.0,40.0,110.0,75.0
H1_2013,1.83,2.63,2.21,6.04,0.68,0.68,total,0.0,40.0,110.0,75.0
H1_2013,2.63,4.13,3.3,2.8,0.38,0.38,total,0.0,40.0,110.0,75.0
H1_2013,4.13,8.0,5.71,0.875,0.178,0.178,total,0.0,40.0,110.0,75.0
ZEUS_2003,1.2,1.5,1.34,16.0,6.352952069707436,3.2984845004941286,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
ZEUS_2003,1.5,2.0,1.74,9.5,2.3769728648009427,2.073644135332772,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
ZEUS_2003,2.0,2.5,2.24,8.3,3.2511536414017717,2.2135943621178655,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
ZEUS_2003,2.5,3.25,2.84,4.98,1.4523773614319386,1.3560973416388662,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
ZEUS_2003,3.25,4.5,3.81,2.5,1.2328828005937953,1.077032961426901,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
ZEUS_2003,4.5,6.5,5.37,1.33,0.7229799443967999,0.9317188417113824,stat_sys_dissociation_model,0.1,80.0,120.0,100.0
H1_2003_total,2.0,3.0,2.43,5.1,0.7117583859709699,0.7117583859709699,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,3.0,4.0,3.45,3.08,0.45276925690687087,0.45276925690687087,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,4.0,5.0,4.46,1.47,0.23430749027719963,0.23430749027719963,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,5.0,6.0,5.47,0.87,0.16278820596099705,0.16278820596099705,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,6.0,7.0,6.47,0.61,0.12360016181219181,0.12360016181219181,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,7.0,9.0,7.92,0.285,0.057201398584300366,0.057201398584300366,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,9.0,12.0,10.4,0.151,0.031064449134018134,0.031064449134018134,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,12.0,15.0,13.4,0.093,0.022360679774997897,0.022360679774997897,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,15.0,21.0,17.7,0.0236,0.00722357252334328,0.00722357252334328,stat_sys,0.0,50.0,150.0,100.0
H1_2003_total,21.0,30.0,25.0,0.0045,0.0023537204591879642,0.0023537204591879642,stat_sys,0.0,50.0,150.0,100.0
