t_GeV2,coherent_nb_per_GeV2,incoherent_nb_per_GeV2
0.000000000000000000e+00,4.774815139083016788e+02,0.000000000000000000e+00
5.000000000000000104e-03,4.641813784718592615e+02,1.485190429483158381e+00
1.000000000000000194e-02,4.512517749682023691e+02,2.922343174355117146e+00
1.499999999999999944e-02,4.386823789644769818e+02,4.312826817268000212e+00
2.000000000000000042e-02,4.264631537535404391e+02,5.657971663964499243e+00
2.500000000000000139e-02,4.145843423341499943e+02,6.959070810799674156e+00
2.999999999999999889e-02,4.030364596147348379e+02,8.217381182499771342e+00
3.500000000000000333e-02,3.918102848344939275e+02,9.434124540987600227e+00
4.000000000000000777e-02,3.808968541957984826e+02,1.061048846608185237e+01
4.499999999999999833e-02,3.702874537019620220e+02,1.174762730885383455e+01
4.999999999999999584e-02,3.599736121946829144e+02,1.284666311840450525e+01
5.500000000000000722e-02,3.499470945855868536e+02,1.390868654280285988e+01
5.999999999999999778e-02,3.401998952764465116e+02,1.493475770490589660e+01
6.500000000000000222e-02,3.307242317628315504e+02,1.592590705376087534e+01
7.000000000000000666e-02,3.215125384160604654e+02,1.688313619227014328e+01
7.499999999999998335e-02,3.125574604384984241e+02,1.780741868178109044e+01
8.000000000000000167e-02,3.038518479873538354e+02,1.869970082424393709e+01
8.500000000000001998e-02,2.953887504622856568e+02,1.956090242256320266e+01
8.999999999999999667e-02,2.871614109522516287e+02,2.039191751975101496e+01
9.500000000000000111e-02,2.791632608371468791e+02,2.119361511747221272e+01
1.000000000000000056e-01,2.713879145399402546e+02,2.196683987455760700e+01
1.049999999999999822e-01,2.638291644250921877e+02,2.271241278604257374e+01
1.099999999999999867e-01,2.564809758391804735e+02,2.343113184327405207e+01
1.150000000000000050e-01,2.493374822897716285e+02,2.412377267561414484e+01
1.199999999999999956e-01,2.423929807586922323e+02,2.479108917425408620e+01
1.250000000000000278e-01,2.356419271459282925e+02,2.543381409863536646e+01
1.300000000000000322e-01,2.290789318405407187e+02,2.605265966596533289e+01
1.350000000000000089e-01,2.226987554150300923e+02,2.664831812429637736e+01
1.400000000000000133e-01,2.164963044397303236e+02,2.722146230962928826e+01
1.449999999999999900e-01,2.104666274138664335e+02,2.777274618748367274e+01
1.500000000000000222e-01,2.046049108100369835e+02,2.830280537937066399e+01
1.550000000000000266e-01,1.989064752289525018e+02,2.881225767458738929e+01
1.600000000000000311e-01,1.933667716613606729e+02,2.930170352774375431e+01
1.650000000000000078e-01,1.879813778541580120e+02,2.977172654241686800e+01
1.700000000000000122e-01,1.827459947778063452e+02,3.022289394132377538e+01
1.750000000000000167e-01,1.776564431922076324e+02,3.065575702338490061e+01
1.799999999999999933e-01,1.727086603082991303e+02,3.107085160804457757e+01
1.849999999999999978e-01,1.678986965427053804e+02,3.146869846720481334e+01
1.899999999999999745e-01,1.632227123628518655e+02,3.184980374511757617e+01
1.950000000000000067e-01,1.586769752200086998e+02,3.221465936656962725e+01
1.999999999999999833e-01,1.542578565678272469e+02,3.256374343368857893e+01
2.050000000000000433e-01,1.499618289639736304e+02,3.289752061168541530e+01
2.099999999999999922e-01,1.457854632525530860e+02,3.321644250384362351e+01
2.149999999999999967e-01,1.417254258250629277e+02,3.352094801605314700e+01
2.200000000000000289e-01,1.377784759576946385e+02,3.381146371118202154e+01
2.249999999999999778e-01,1.339414632228496203e+02,3.408840415356799980e+01
2.300000000000000100e-01,1.302113249728012079e+02,3.435217224390589053e+01
2.350000000000000422e-01,1.265850838934961331e+02,3.460315954479906253e+01
2.399999999999999911e-01,1.230598456265332885e+02,3.484174659723409206e+01
2.450000000000000233e-01,1.196327964574235949e+02,3.506830322823251578e+01
2.500000000000000000e-01,1.163012010682839446e+02,3.528318884992565785e+01
2.550000000000000044e-01,1.130624003531646053e+02,3.548675275029092546e+01
2.600000000000000089e-01,1.099138092942687308e+02,3.567933437578277989e+01
2.649999999999999578e-01,1.068529148973656078e+02,3.586126360608444941e+01
2.700000000000000733e-01,1.038772741847426460e+02,3.603286102119857048e+01
2.750000000000000222e-01,1.009845122441010403e+02,3.619443816109253476e+01
2.800000000000000266e-01,9.817232033182743578e+01,3.634629777810450690e+01
2.849999999999999756e-01,9.543845402912918985e+01,3.648873408231189330e+01
2.899999999999999800e-01,9.278073144956223928e+01,3.662203298006014762e+01
2.949999999999999289e-01,9.019703149651323315e+01,3.674647230584019297e+01
2.999999999999999334e-01,8.768529216924757463e+01,3.686232204770160337e+01
3.049999999999999933e-01,8.524350891616862214e+01,3.696984456638108441e+01
3.100000000000000533e-01,8.286973303397275004e+01,3.706929480832189228e+01
3.150000000000000022e-01,8.056207011141879093e+01,3.716092051275390418e+01
3.200000000000000067e-01,7.831867851646842382e+01,3.724496241299949872e+01
3.250000000000000666e-01,7.613776792559329465e+01,3.732165443216833012e+01
3.299999999999999600e-01,7.401759789406725076e+01,3.739122387339508435e+01
3.350000000000000755e-01,7.195647646610369463e+01,3.745389160477318313e+01
3.400000000000000799e-01,6.995275882372875742e+01,3.750987223913235624e+01
3.450000000000000289e-01,6.800484597330886061e+01,3.755937430880420891e+01
3.499999999999999778e-01,6.611118346868360618e+01,3.760260043551465969e+01
3.549999999999999267e-01,6.427026016988405388e+01,3.763974749553980814e+01
3.599999999999999867e-01,6.248060703644346603e+01,3.767100678025659732e+01
3.650000000000000466e-01,6.074079595433737921e+01,3.769656415221741952e+01
3.699999999999999400e-01,5.904943859561554831e+01,3.771660019687283949e+01
3.749999999999999445e-01,5.740518530981308487e+01,3.773129037006390263e+01
3.800000000000000044e-01,5.580672404625734373e+01,3.774080514140207754e+01
3.850000000000000644e-01,5.425277930640784518e+01,3.774531013365157150e+01
3.900000000000000133e-01,5.274211112539149582e+01,3.774496625822461482e+01
3.950000000000000733e-01,5.127351408192207316e+01,3.773992984689976282e+01
4.000000000000000222e-01,4.984581633580928184e+01,3.773035277986627278e+01
4.049999999999999711e-01,4.845787869229150857e+01,3.771638261019923988e+01
4.100000000000000311e-01,4.710859369244285233e+01,3.769816268486319188e+01
4.150000000000000355e-01,4.579688472892738815e+01,3.767583226234146565e+01
4.199999999999999289e-01,4.452170518639661623e+01,3.764952662698654962e+01
4.249999999999999889e-01,4.328203760583990345e+01,3.761937720018070763e+01
4.299999999999999933e-01,4.207689287222320473e+01,3.758551164839771985e+01
4.349999999999999423e-01,4.090530942476468113e+01,3.754805398825052976e+01
4.399999999999999467e-01,3.976635248921807175e+01,3.750712468861021165e+01
4.449999999999999512e-01,3.865911333154983254e+01,3.746284076987736711e+01
4.500000000000000111e-01,3.758270853241300102e+01,3.741531590048455058e+01
4.550000000000000711e-01,3.653627928183931317e+01,3.736466049070805440e+01
4.600000000000000200e-01,3.551899069358514538e+01,3.731098178386339725e+01
4.650000000000000244e-01,3.453003113858449780e+01,3.725438394495784422e+01
4.700000000000000289e-01,3.356861159697579211e+01,3.719496814687080644e+01
4.750000000000000888e-01,3.263396502818421396e+01,3.713283265412984946e+01
4.799999999999999822e-01,3.172534575855842220e+01,3.706807290435162372e+01
4.849999999999999312e-01,3.084202888606973758e+01,3.700078158741064271e+01
4.899999999999999356e-01,2.998330970160078479e+01,3.693104872240049730e+01
4.950000000000000511e-01,2.914850312635919494e+01,3.685896173244826457e+01
5.000000000000001110e-01,2.833694316496871224e+01,3.678460551744329621e+01
5.049999999999998934e-01,2.754798237379872816e+01,3.670806252473583697e+01
5.100000000000000089e-01,2.678099134411020188e+01,3.662941281786608272e+01
5.150000000000000133e-01,2.603535819960221787e+01,3.654873414337381377e+01
5.200000000000001288e-01,2.531048810795996218e+01,3.646610199574634947e+01
5.250000000000000222e-01,2.460580280601364223e+01,3.638158968055503095e+01
5.300000000000000266e-01,2.392074013812680988e+01,3.629526837582871934e+01
5.350000000000001421e-01,2.325475360744912834e+01,3.620720719171760749e+01
5.400000000000000355e-01,2.260731193967179919e+01,3.611747322849144837e+01
5.450000000000000400e-01,2.197789865893881256e+01,3.602613163292026854e+01
5.500000000000000444e-01,2.136601167557525116e+01,3.593324565308267182e+01
5.550000000000000488e-01,2.077116288530218569e+01,3.583887669164407441e+01
5.600000000000000533e-01,2.019287777962009400e+01,3.574308435765065184e+01
5.650000000000000577e-01,1.963069506704687228e+01,3.564592651687595293e+01
5.700000000000000622e-01,1.908416630491069554e+01,3.554745934076503744e+01
5.750000000000000666e-01,1.855285554140166226e+01,3.544773735401216896e+01
5.799999999999999600e-01,1.803633896759674826e+01,3.534681348081075924e+01
5.849999999999999645e-01,1.753420457918097952e+01,3.524473908981403270e+01
5.900000000000000799e-01,1.704605184759340730e+01,3.514156403784009797e+01
5.949999999999999734e-01,1.657149140033623169e+01,3.503733671235848135e+01
6.000000000000000888e-01,1.611014471019091587e+01,3.493210407279040908e+01
6.049999999999999822e-01,1.566164379309408972e+01,3.482591169065777592e+01
6.099999999999999867e-01,1.522563091443037742e+01,3.471880378861022365e+01
6.150000000000001021e-01,1.480175830350940558e+01,3.461082327836448513e+01
6.200000000000001066e-01,1.438968787599772803e+01,3.450201179758486347e+01
6.250000000000001110e-01,1.398909096408400821e+01,3.439240974573345966e+01
6.300000000000000044e-01,1.359964805416257860e+01,3.428205631892095795e+01
6.350000000000000089e-01,1.322104853182575468e+01,3.417098954378485587e+01
6.400000000000001243e-01,1.285299043396040908e+01,3.405924631042099548e+01
6.450000000000000178e-01,1.249518020775202487e+01,3.394686240439719427e+01
6.500000000000001332e-01,1.214733247640279501e+01,3.383387253787253002e+01
6.549999999999999156e-01,1.180916981137753297e+01,3.372031037984870494e+01
6.600000000000000311e-01,1.148042251099424504e+01,3.360620858557593493e+01
6.650000000000000355e-01,1.116082838518433817e+01,3.349159882513926334e+01
6.700000000000001510e-01,1.085013254624856494e+01,3.337651181124549993e+01
6.750000000000000444e-01,1.054808720544348510e+01,3.326097732623588143e+01
6.800000000000000488e-01,1.025445147523431721e+01,3.314502424834292071e+01
6.850000000000000533e-01,9.968991177057754172e+00,3.302868057721575212e+01
6.900000000000000577e-01,9.691478654440061291e+00,3.291197345873157332e+01
6.950000000000000622e-01,9.421692591321978227e+00,3.279492920911509657e+01
7.000000000000000666e-01,9.159417835444902067e+00,3.267757333838396505e+01
7.049999999999999600e-01,8.904445226657584200e+00,3.255993057313967398e+01
7.099999999999998535e-01,8.656571430006081869e+00,3.244202487872203733e+01
7.150000000000000799e-01,8.415598773473718097e+00,3.232387948074470074e+01
7.199999999999999734e-01,8.181335090241688590e+00,3.220551688602973428e+01
7.249999999999998668e-01,7.953593565343809679e+00,3.208695890295668818e+01
7.299999999999999822e-01,7.732192586593557238e+00,3.196822666124342405e+01
7.349999999999999867e-01,7.516955599664281173e+00,3.184934063117546188e+01
7.399999999999999911e-01,7.307710967206269004e+00,3.173032064229624893e+01
7.449999999999999956e-01,7.104291831889127273e+00,3.161118590157731134e+01
7.499999999999998890e-01,6.906535983259024292e+00,3.149195501107827155e+01
7.550000000000000044e-01,6.714285728305806167e+00,3.137264598511648117e+01
7.599999999999998979e-01,6.527387765635229933e+00,3.125327626695405669e+01
7.650000000000000133e-01,6.345693063146835122e+00,3.113386274502002848e+01
7.700000000000000178e-01,6.169056739119580079e+00,3.101442176867927714e+01
7.750000000000000222e-01,5.997337946609817116e+00,3.089496916355953715e+01
7.800000000000000266e-01,5.830399761070103715e+00,3.077552024645159179e+01
7.849999999999999201e-01,5.668109071098383467e+00,3.065608983979160485e+01
7.900000000000000355e-01,5.510336472230756399e+00,3.053669228573929217e+01
7.950000000000001510e-01,5.356956163692836448e+00,3.041734145986191962e+01
7.999999999999999334e-01,5.207845848027577773e+00,3.029805078443730082e+01
8.049999999999999378e-01,5.062886633518591140e+00,3.017883324138155743e+01
8.100000000000000533e-01,4.921962939332466647e+00,3.005970138481943366e+01
8.150000000000000577e-01,4.784962403302836620e+00,2.994066735329963080e+01
8.200000000000001732e-01,4.651775792283712185e+00,2.982174288167078657e+01
8.250000000000001776e-01,4.522296914999812678e+00,2.970293931262363785e+01
8.300000000000000711e-01,4.396422537324674806e+00,2.958426760791100207e+01
8.350000000000000755e-01,4.274052299918883691e+00,2.946573835925437024e+01
8.399999999999999689e-01,4.155088638162458103e+00,2.934736179894418129e+01
8.449999999999999734e-01,4.039436704317700411e+00,2.922914781014451435e+01
8.500000000000000888e-01,3.927004291860204610e+00,2.911110593690850123e+01
8.549999999999999822e-01,3.817701761917735581e+00,2.899324539391398403e+01
8.599999999999999867e-01,3.711441971758236757e+00,2.887557507592685013e+01
8.649999999999999911e-01,3.608140205269720902e+00,2.875810356699836490e+01
8.699999999999998845e-01,3.507714105376843250e+00,2.864083914940637854e+01
8.750000000000000000e-01,3.410083608339872008e+00,2.852378981234504352e+01
8.800000000000001155e-01,3.315170879883923227e+00,2.840696326037189934e+01
8.849999999999998979e-01,3.222900253107162438e+00,2.829036692161767519e+01
8.900000000000000133e-01,3.133198168118736415e+00,2.817400795576710948e+01
8.950000000000000178e-01,3.045993113357919224e+00,2.805789326181480448e+01
8.999999999999999112e-01,2.961215568547936883e+00,2.794202948560524646e+01
9.050000000000000266e-01,2.878797949238667719e+00,2.782642302716031679e+01
9.100000000000000311e-01,2.798674552894170553e+00,2.771108004780215239e+01
9.150000000000001465e-01,2.720781506481813938e+00,2.759600647707582155e+01
9.200000000000000400e-01,2.645056715521388213e+00,2.748120801947870717e+01
9.250000000000000444e-01,2.571439814553238890e+00,2.736669016099992646e+01
9.300000000000001599e-01,2.499872118986229630e+00,2.725245817547771665e+01
9.349999999999999423e-01,2.430296578286823550e+00,2.713851713077770000e+01
9.400000000000001688e-01,2.362657730472000228e+00,2.702487189479785812e+01
9.449999999999999512e-01,2.296901657869798274e+00,2.691152714130527812e+01
9.500000000000000666e-01,2.232975944111975419e+00,2.679848735560899442e+01
9.550000000000000711e-01,2.170829632324643654e+00,2.668575684007352677e+01
9.599999999999999645e-01,2.110413184483374227e+00,2.657333971947767282e+01
9.649999999999999689e-01,2.051678441900422367e+00,2.646123994622313802e+01
9.699999999999999734e-01,1.994578586812445486e+00,2.634946130539602649e+01
9.749999999999999778e-01,1.939068105038180834e+00,2.623800741968730321e+01
9.800000000000000933e-01,1.885102749676136558e+00,2.612688175417405034e+01
9.850000000000000977e-01,1.832639505813446146e+00,2.601608762096707750e+01
9.899999999999999911e-01,1.781636556217626177e+00,2.590562818372731968e+01
9.949999999999998845e-01,1.732053247983914579e+00,2.579550646205565556e+01
1.000000000000000000e+00,1.683850060111543590e+00,2.568572533575912686e+01
1.004999999999999893e+00,1.636988571983098106e+00,2.557628754899725365e+01
1.009999999999999787e+00,1.591431432721748029e+00,2.546719571431163587e+01
1.015000000000000124e+00,1.547142331401952342e+00,2.535845231654208476e+01
1.020000000000000018e+00,1.504085968089874825e+00,2.525005971663294346e+01
1.024999999999999689e+00,1.462228025690286204e+00,2.514202015533146195e+01
1.030000000000000027e+00,1.421535142577651678e+00,2.503433575678298695e+01
1.034999999999999920e+00,1.381974885989447621e+00,2.492700853202422806e+01
1.040000000000000036e+00,1.343515726160474877e+00,2.482004038237830201e+01
1.044999999999999929e+00,1.306127011177589337e+00,2.471343310275392824e+01
1.050000000000000266e+00,1.269778942534742328e+00,2.460718838485206916e+01
1.055000000000000160e+00,1.234442551368837071e+00,2.450130782028175247e+01
1.059999999999999831e+00,1.200089675357396191e+00,2.439579290358793529e+01
1.065000000000000169e+00,1.166692936259687619e+00,2.429064503519441232e+01
1.070000000000000062e+00,1.134225718083308854e+00,2.418586552426308245e+01
1.074999999999999734e+00,1.102662145858846809e+00,2.408145559147313364e+01
1.080000000000000293e+00,1.071977065005646379e+00,2.397741637172105911e+01
1.084999999999999964e+00,1.042146021272273737e+00,2.387374891674472366e+01
1.090000000000000080e+00,1.013145241235609229e+00,2.377045419767366852e+01
1.094999999999999751e+00,9.849516133430425979e-01,2.366753310750650385e+01
1.100000000000000089e+00,9.575426694826250085e-01,2.356498646351876758e+01
1.104999999999999982e+00,9.308965670665153569e-01,2.346281500960269994e+01
1.109999999999999876e+00,9.049920716133416088e-01,2.336101941854051844e+01
1.114999999999999769e+00,8.798085398156658687e-01,2.325960029421344899e+01
1.120000000000000107e+00,8.553259030789909234e-01,2.315855817374830750e+01
1.124999999999999778e+00,8.315246515191967447e-01,2.305789352960308136e+01
1.130000000000000115e+00,8.083858184056074148e-01,2.295760677159350038e+01
1.135000000000000231e+00,7.858909650373291367e-01,2.285769824886200396e+01
1.139999999999999902e+00,7.640221660407433557e-01,2.275816825179132152e+01
1.145000000000000018e+00,7.427619950764249301e-01,2.265901701386268385e+01
1.150000000000000133e+00,7.220935109441445343e-01,2.256024471346265159e+01
1.155000000000000249e+00,7.020002440747707961e-01,2.246185147563743456e+01
1.159999999999999920e+00,6.824661833983858283e-01,2.236383737379806647e+01
1.165000000000000258e+00,6.634757635780644813e-01,2.226620243137671551e+01
1.169999999999999707e+00,6.450138525992022975e-01,2.216894662343611344e+01
1.175000000000000044e+00,6.270657397043972736e-01,2.207206987823276734e+01
1.179999999999999716e+00,6.096171236643929126e-01,2.197557207873652985e+01
1.185000000000000053e+00,5.926541013755551868e-01,2.187945306410546209e+01
1.189999999999999947e+00,5.761631567749569971e-01,2.178371263112008904e+01
1.195000000000000284e+00,5.601311500640997476e-01,2.168835053557583947e+01
1.199999999999999734e+00,5.445453072327458566e-01,2.159336649363612182e+01
1.205000000000000071e+00,5.293932098744533743e-01,2.149876018314642323e+01
1.210000000000000187e+00,5.146627852857563745e-01,2.140453124491124015e+01
1.215000000000000080e+00,5.003422968410078386e-01,2.131067928393416366e+01
1.219999999999999973e+00,4.864203346352821145e-01,2.121720387062285695e+01
1.225000000000000089e+00,4.728858063878110807e-01,2.112410454195882181e+01
1.229999999999999760e+00,4.597279285987622699e-01,2.103138080263482124e+01
1.235000000000000098e+00,4.469362179522209932e-01,2.093903212615823506e+01
1.240000000000000213e+00,4.345004829586101014e-01,2.084705795592402211e+01
1.245000000000000329e+00,4.224108158298010007e-01,2.075545770625608455e+01
1.250000000000000222e+00,4.106575845804869562e-01,2.066423076341906295e+01
1.255000000000000338e+00,3.992314253494883558e-01,2.057337648660077534e+01
1.260000000000000009e+00,3.881232349348930910e-01,2.048289420886697343e+01
1.265000000000000346e+00,3.773241635370252478e-01,2.039278323808748183e+01
1.269999999999999796e+00,3.668256077035355611e-01,2.030304285783711649e+01
1.275000000000000355e+00,3.566192034708824954e-01,2.021367232826896299e+01
1.280000000000000027e+00,3.466968196968416294e-01,2.012467088696393347e+01
1.284999999999999920e+00,3.370505515786313411e-01,2.003603774975491802e+01
1.289999999999999813e+00,3.276727143515448804e-01,1.994777211152713292e+01
1.294999999999999929e+00,3.185558371630371477e-01,1.985987314699566397e+01
1.300000000000000266e+00,3.096926571173829745e-01,1.977234001146007003e+01
1.304999999999999716e+00,3.010761134861636990e-01,1.968517184153743216e+01
1.310000000000000053e+00,2.926993420799458012e-01,1.959836775587379165e+01
1.315000000000000169e+00,2.845556697767002152e-01,1.951192685583545128e+01
1.319999999999999840e+00,2.766386092025407417e-01,1.942584822617916629e+01
1.324999999999999734e+00,2.689418535605963001e-01,1.934013093570388619e+01
1.330000000000000071e+00,2.614592716038571241e-01,1.925477403788286779e+01
1.334999999999999964e+00,2.541849027479980982e-01,1.916977657147748459e+01
1.340000000000000302e+00,2.471129523202734990e-01,1.908513756113312354e+01
1.344999999999999973e+00,2.402377869407057165e-01,1.900085601795746371e+01
1.350000000000000089e+00,2.335539300318693889e-01,1.891693094008201825e+01
1.354999999999999982e+00,2.270560574537084653e-01,1.883336131320730900e+01
1.360000000000000320e+00,2.207389932598785021e-01,1.875014611113156349e+01
