t_GeV2,incoherent_nb_per_GeV2
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,8.969567314763118304e-01
6.000000000000000125e-03,1.776419638630611919e+00
9.000000000000001055e-03,2.638689390128714507e+00
1.200000000000000025e-02,3.484061580849689754e+00
1.499999999999999944e-02,4.312826817268000212e+00
1.800000000000000211e-02,5.125270801399343767e+00
2.100000000000000130e-02,5.921674413334121923e+00
2.400000000000000050e-02,6.702313792382633473e+00
2.699999999999999969e-02,7.467460416855166372e+00
2.999999999999999889e-02,8.217381182499771342e+00
3.300000000000000155e-02,8.952338479620626899e+00
3.600000000000000422e-02,9.672590268899330823e+00
3.899999999999999994e-02,1.037839015594004444e+01
4.200000000000000261e-02,1.106998746456113736e+01
4.499999999999999833e-02,1.174762730885383455e+01
4.800000000000000100e-02,1.241155066402813745e+01
5.100000000000000366e-02,1.306199443606764454e+01
5.399999999999999939e-02,1.369919153021198710e+01
5.700000000000000205e-02,1.432337091828768827e+01
5.999999999999999778e-02,1.493475770490589660e+01
6.300000000000000044e-02,1.553357319254711477e+01
6.600000000000000311e-02,1.612003494555015237e+01
6.900000000000000577e-02,1.669435685302547867e+01
7.200000000000000844e-02,1.725674919071014912e+01
7.499999999999999722e-02,1.780741868178109044e+01
7.799999999999999989e-02,1.834656855664703556e+01
8.100000000000000255e-02,1.887439861173330513e+01
8.400000000000000522e-02,1.939110526727816008e+01
8.700000000000000788e-02,1.989688162415722417e+01
8.999999999999999667e-02,2.039191751975101496e+01
9.299999999999999933e-02,2.087639958287387643e+01
9.600000000000000200e-02,2.135051128777802631e+01
9.900000000000000466e-02,2.181443300724922096e+01
1.020000000000000073e-01,2.226834206480978651e+01
1.049999999999999961e-01,2.271241278604257374e+01
1.079999999999999988e-01,2.314681654905252017e+01
1.110000000000000014e-01,2.357172183407862676e+01
1.140000000000000041e-01,2.398729427227138800e+01
1.170000000000000068e-01,2.439369669365039428e+01
1.199999999999999956e-01,2.479108917425408620e+01
1.229999999999999982e-01,2.517962908249726439e+01
1.260000000000000009e-01,2.555947112474836302e+01
1.290000000000000036e-01,2.593076739014003707e+01
1.320000000000000062e-01,2.629366739462590274e+01
1.350000000000000089e-01,2.664831812429637736e+01
1.380000000000000115e-01,2.699486407796544185e+01
1.410000000000000142e-01,2.733344730904190456e+01
1.440000000000000169e-01,2.766420746669459874e+01
1.469999999999999918e-01,2.798728183632728062e+01
1.499999999999999944e-01,2.830280537937066399e+01
1.529999999999999971e-01,2.861091077240648062e+01
1.559999999999999998e-01,2.891172844563261179e+01
1.590000000000000024e-01,2.920538662068142699e+01
1.620000000000000051e-01,2.949201134780200562e+01
